Domain,Area,Element,Item,Year,Value
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2000","115134.623885"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2001","77526.161645"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2002","97211.772279"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2003","22564.816339"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2004","28821.746313"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2005","31378.937737"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2006","132172.670292"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2007","115162.681867"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2008","86131.479456"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2009","63372.867288"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2010","74428.364685"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2011","85059.729797"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2012","74787.245849"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2013","80019.785982"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2014","76129.242021"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2015","87681.214874"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2016","96211.082256"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2017","92145.70737"
"Value of Agricultural Production","Colombia","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2018","79329.384897"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1961","652.511208"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1962","652.511208"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1963","652.511208"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1964","652.511208"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1965","652.511208"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1966","717.762329"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1967","717.762329"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1968","750.387889"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1969","750.387889"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1970","783.01345"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1971","783.01345"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1972","815.63901"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1973","848.26457"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1974","880.890131"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1975","913.515691"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1976","913.515691"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1977","946.141252"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1978","978.766812"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1979","978.766812"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1980","978.766812"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1981","978.766812"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1982","978.766812"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1983","946.141252"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1984","946.141252"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1985","946.141252"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1986","929.828471"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1987","929.828471"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1988","929.828471"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1989","913.515691"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1990","1005.519772"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1991","879.996407"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1992","848.26457"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1993","822.153251"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1994","815.63901"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1995","805.407927"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1996","762.785602"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1997","783.01345"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1998","783.01345"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1999","789.864817"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2000","811.397687"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2001","815.63901"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2002","646.312352"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2003","736.032643"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2004","736.032643"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2005","750.387889"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2006","783.01345"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2007","750.387889"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2008","748.522205"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2009","783.01345"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2010","743.909793"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2011","736.82489"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2012","738.565397"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2013","735.546863"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2014","727.053387"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2015","726.320982"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2016","727.004111"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2017","724.660834"
"Value of Agricultural Production","Congo","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2018","722.291618"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1961","1199.641856"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1962","978.766812"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1963","1044.017933"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1964","1076.643493"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1965","1141.894614"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1966","1729.154701"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1967","1468.150218"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1968","978.766812"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1969","1924.908064"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1970","1631.27802"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1971","1141.894614"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1972","1092.956273"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1973","1957.533624"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1974","1141.894614"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1975","1239.771295"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1976","1010.739861"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1977","1181.045286"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1978","932.438516"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1979","784.318472"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1980","411.082061"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1981","871.754974"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1982","298.197622"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1983","261.004483"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1984","261.004483"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1985","261.004483"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1986","163.127802"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1987","130.502242"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1988","130.502242"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1989","130.502242"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1990","146.815022"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1991","146.815022"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1992","130.502242"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1993","179.440582"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1994","114.189461"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1995","130.502242"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1996","81.563901"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1997","81.563901"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1998","65.251121"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1999","48.938341"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2000","55.627521"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2001","42.413229"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2002","41.892448"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2003","27.731726"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2004","24.46917"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2005","26.100448"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2006","21.790525"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2007","32.62556"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2008","15.502064"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2009","8.89464"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2010","7.570086"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2011","7.315723"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2012","7.483297"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2013","7.372899"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2014","7.39064"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2015","7.415612"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2016","7.393051"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2017","7.399767"
"Value of Agricultural Production","Cook Islands","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2018","7.40281"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1961","12789.219677"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1962","13050.22416"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1963","13767.986489"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1964","14289.995455"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1965","15399.264509"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1966","16051.775717"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1967","16704.286925"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1968","17944.05822"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1969","18596.569428"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1970","19281.706196"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1971","19575.33624"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1972","20227.847448"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1973","20880.358656"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1974","21206.61426"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1975","22185.381072"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1976","22837.89228"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1977","23653.53129"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1978","24142.914696"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1979","24142.914696"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1980","24469.1703"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1981","24795.425904"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1982","25121.681508"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1983","25284.80931"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1984","25284.80931"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1985","26100.44832"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1986","26426.703924"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1987","26589.831726"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1988","26752.959528"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1989","27079.215132"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1990","36113.232807"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1991","43391.995332"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1992","43718.250936"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1993","52200.89664"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1994","42273.917377"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1995","48938.3406"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1996","53832.17466"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1997","97381.751449"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1998","107479.036137"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1999","92393.955775"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2000","132133.51962"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2001","142431.451505"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2002","119735.806668"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2003","119735.806668"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2004","145891.065929"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2005","124859.324673"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2006","146423.515075"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2007","138332.376096"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2008","90699.057912"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2009","163127.802"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2010","82216.412208"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2011","92815.065746"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2012","91351.56912"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2013","91351.56912"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2014","71776.23288"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2015","74009.126234"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2016","75317.737461"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2017","76629.937501"
"Value of Agricultural Production","Costa Rica","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2018","77248.844381"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1961","1631.27802"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1962","1631.27802"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1963","1631.27802"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1964","1631.27802"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1965","1631.27802"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1966","1631.27802"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1967","1631.27802"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1968","1631.27802"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1969","1957.533624"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1970","2610.044832"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1971","3262.55604"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1972","3915.067248"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1973","4893.83406"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1974","4893.83406"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1975","4893.83406"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1976","5872.600872"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1977","5872.600872"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1978","5872.600872"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1979","6525.11208"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1980","6851.367684"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1981","7177.623288"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1982","7830.134496"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1983","8156.3901"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1984","8482.645704"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1985","8808.901308"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1986","9135.156912"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1987","9135.156912"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1988","9135.156912"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1989","9135.156912"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1990","5926.106791"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1991","8453.2827"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1992","8875.783707"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1993","9186.052786"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1994","9135.156912"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1995","9012.213735"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1996","9162.148295"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1997","9471.200184"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1998","9716.870654"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","1999","9342.002965"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2000","9542.323906"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2001","9789.951909"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2002","9995.49294"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2003","10205.275293"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2004","10543.276099"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2005","10892.369595"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2006","11254.839571"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2007","11418.94614"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2008","11460.578478"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2009","11592.736111"
"Value of Agricultural Production","Côte d'Ivoire","Gross Production Value (constant 2014-2016 1000 I$)","Oranges","2010","11679.045293"
